name,category,subcategory,torrentSize,torrentLink,coverImageUrl
"Ламли Брайан – Из глубины [Олег Булдаков, 2022, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","516.5 MB","magnet:?xt=urn:btih:A9FB0E37060FD188C0B9868F5CEDA2F8DDA5B85C&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i6.imageban.ru/out/2022/03/15/13672a3a65cf231e746e7708a4c1f380.jpg"
�энтези, мистика, ужасы, фанфики","1.66 GB","magnet:?xt=urn:btih:C2D60349C6A4490ECF99D3D71A1C55B5D2884A76&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i7.imageban.ru/out/2022/01/28/35d188629011fe0425efac3cc1da1dc4.jpg"
"Domagoj Kurmaic aka nobody103 - Mother of Learning / Мать ученья [Adrenalin28, (ЛИ), 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","3.25 GB","magnet:?xt=urn:btih:19A2EB6F3A4C0A0C448DD535613E2B6EBCB31691&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0218/7c/0eb366dcf1cbbe1cf636c8a72a48bf7c.jpg"
"Герберт Джеймс – Туман [Олег Булдаков, 2022, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","768.2 MB","magnet:?xt=urn:btih:5A701AC7355C897EF16981CD7161F75C758DE044&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i6.imageban.ru/out/2022/01/19/28b20b49db90c727f8e4307419982ab2.jpg"
"Дель Торо Гильермо, Хоган Чак - Штамм 2, Закат [Гарри Стил, (ЛИ), 2022, 256 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.71 GB","magnet:?xt=urn:btih:CB35188769A40B0250A06AE036628B552106ACCF&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0301/29/84deee965e3f5e42e24e1c92b9567429.jpg"
"Кинг Стивен - Позже [BIGBAG, (ЛИ), 2021, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.38 GB","magnet:?xt=urn:btih:145CCB51D2DBB20181EF7FA9A98A7F69B8A6800F&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2021/0611/f8/69f96d63e9d7f4633ea68fd16689b4f8.jpg"
"Митчелл Сэнди - Warhammer 40000. Кайафас Каин 7, Избранные воины Императора [Adrenalin28, (ЛИ), 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","497.7 MB","magnet:?xt=urn:btih:BD38DD5E7276D841E5547305F8B59F06FFE9688A&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0202/4a/348507429e6a7f4c3e2da49949af9e4a.jpg"
"Уэллс Марта - Книги Раксура 1: Облачные дороги [Игорь Князев, 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","900.9 MB","magnet:?xt=urn:btih:9A4ECA9A8105755E79CFFBF8283838AB53EB4010&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i117.fastpic.org/big/2022/0508/3d/2a9b90f95ef23e5d2cd9bd8c1c45243d.jpg"
"Стерлинг Брюс - Распад [Оробчук Сергей, (ЛИ), 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","860.9 MB","magnet:?xt=urn:btih:B02903707D54483438278AD261D0D45665EFBA59&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://www.hostpic.org/images/2203162228110098.jpg"
"Кинг Стивен - Мешок с костями [Игорь Князев, 2021, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.33 GB","magnet:?xt=urn:btih:0511561DD1651F76A8A1C1707BB3CC5C0851711F&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0110/04/4e250c5c59062d1ab3d5ac192c5f8104.jpg"
"Ле Гуин Урсула - Хайнский цикл: 08. Толкователи [Оробчук Сергей, (ЛИ), 2021, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","438.6 MB","magnet:?xt=urn:btih:0E5DC87B5611D428ED47BE8532CF0E25F9B39578&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://www.hostpic.org/images/2204162218320114.jpg"
"Вебер Дэвид - В руках врага [Владимир Князев, 2022, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.52 GB","magnet:?xt=urn:btih:5C61E8810CD398F8377E82794B40496B84A62A8F&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0306/4e/702928f3ef92f2c04d95d13c5bbb354e.jpg"
"Буль Пьер – Планета обезьян [Михаил Прокопов, (ЛИ), 2021, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","529.5 MB","magnet:?xt=urn:btih:CFE21C78CE60B88ECD5CDF416B4EFC227D2E60EC&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i2.imageban.ru/out/2021/05/30/ed2e9d3dd8646e141c3e00088171bfc1.png"
"Дель Торо Гильермо, Хоган Чак - Штамм 1, Начало [Гарри Стил, (ЛИ), 2021, 256 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.69 GB","magnet:?xt=urn:btih:8BFBBD51C277BE8A000F0BB63E4C3C6EEB85B591&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i115.fastpic.org/big/2021/0828/5b/6b26ca25ca65ce7b91a3269701772e5b.jpg"
"Барсуков Ярослав - Башня из грязи и веток (сборник) [Кирилл Головин, 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","434.4 MB","magnet:?xt=urn:btih:74E7FDB6B17C563100E200EFDE14377F4949334D&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0404/f8/fe6d442527ecef15a3894d0da0dfd7f8.jpg"
"Мейер Марисса - Лунные хроники 2, Красная Шапочка [Смелова Светлана, (ЛИ), 2021, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","593 MB","magnet:?xt=urn:btih:BD4F1B5C0AFED5030106F78215F6221D6DD17F67&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2021/1222/b4/39c154ed3f9e77a1e49c479cd599e2b4.png"
"Мейер Марисса - Лунные хроники 1, Золушка [Смелова Светлана, (ЛИ), 2021, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","554.8 MB","magnet:?xt=urn:btih:CB0CBF90CFA40E015C6196F606BA479240D9C557&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2021/1222/c5/abed5e233fd3b5302f018c245476edc5.png"
"Уолпол Хью - Кошмар на берегу: миг ужаса [ИГрин (ЛИ), 2022, 80 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","10.8 MB","magnet:?xt=urn:btih:BAEDD2DB0804786075888F86DED57CEB375F637C&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0323/17/0f4bdef44f96081177ba824bba5fcd17.jpg"
"Хатсон Шон - Слизни 2: Питательная среда [Владимир Князев, 2021, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","558.4 MB","magnet:?xt=urn:btih:086723132DD9FAB2A03C77FD76956732475E756A&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2021/0614/26/99fd2a1b13986d362469fe4e2387d626.jpg"
"Лем Станислав - Маска. Не только фантастика [Герасимов Вячеслав ., 2015 г., 128 kbps, 44 kHz, Mono, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","740.6 MB","magnet:?xt=urn:btih:4C3847E73003D8DC8211F1AD19CFB421A948F69D&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i64.fastpic.ru/big/2015/0108/b7/4b947d75d596a26add2f89d3a7f460b7.jpg"
"Лафферти Мёр - Шесть пробуждений [Михаил Михайлов (mike-555), (ЛИ), 2020 г., 64 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","292.3 MB","magnet:?xt=urn:btih:5014F03A55E48DE714DB20F5671E1B93087ED7CB&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i112.fastpic.ru/big/2020/0617/de/0f651177479002f909af66cb36adaede.jpg"
"Уиндем Джон - триффиды 01, День триффидов [Игорь Князев, 2019, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","534.2 MB","magnet:?xt=urn:btih:F14E270BE3C2CAF20972F8156CEFDC2C93062AA2&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i2.imageban.ru/out/2019/10/02/164478eed6b2880dbad603de0d0dedb2.jpg"
"Кель Фрэнсис - Песнь Сорокопута [Виталий Сулимов, 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","576.1 MB","magnet:?xt=urn:btih:C4A6E82EF98F3D44F9EDAB227D0F0FBF8A34A450&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i117.fastpic.org/big/2022/0508/0f/46f3109af63d1386cf06422c381ebf0f.jpg"
"Сандерсон Брендон - Архив Буресвета 4, Ритм войны [Дружинин Степан, (ЛИ), 2021, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.32 GB","magnet:?xt=urn:btih:7064FB383A98825D95FE88EED0D0AB8C922B5573&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2021/1230/b3/2487b440a686bffda167ba0240d8a8b3.jpg"
"Сапковский Анджей - Ведьмак 6, Башня Ласточки [Всеволод Кузнецов, 2022, 56 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","387 MB","magnet:?xt=urn:btih:FECD9D3B82EF8F8D3FE9303ED7026CA210D324B9&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2022/0405/66/03c968c37d293777fb4c9e81ef759a66.jpg"
"Страуд Джонатан - Трилогия Бартимеуса 1, Джонатан Страуд (Трилогия Бартимеуса) - Амулет Самарканда [Артем Пахомов, (ЛИ), 2003, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.27 GB","magnet:?xt=urn:btih:62CFC368124C2340CFC427040BB2B3CBFF87EDD4&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i98.fastpic.ru/big/2018/1103/32/d7ff99398e553c1bdf1dd7a7aa3c6f32.jpg"
"Саймон Грин - Хок и Фишер 06, Подземелья Хейвена [Оробчук Сергей, (ЛИ), 2019 г., 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","393.3 MB","magnet:?xt=urn:btih:59EE959F2025CFA90163449B41A4CCE4272A81E1&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i115.fastpic.org/big/2021/0912/22/9666ead856a283e39cab96b5cc47cd22.jpg"
"Пратчетт Терри - Плоский мир. Ринсвинд, Коэн и волшебники 01, Цвет волшебства [Клюквин Александр, 2017, 61 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","223.6 MB","magnet:?xt=urn:btih:071E5337934EA83955F367BD7595139E3FCC4D25&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://s008.radikal.ru/i305/1705/f6/dd891bf3d164.jpg"
