name,category,subcategory,torrentSize,torrentLink,coverImageUrl
"Тацуми Нагиса - Ничего лишнего. Минимум вещей, максимум счастья [Пугач Алевтина, 2020, 64 kbps, MP3]","Прочая литература","[Аудио] Разное","97.9 MB","magnet:?xt=urn:btih:8D9131FDFA8941E7ED3F90623B0F7BD518C1C886&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i.ibb.co/54wDnf4/Tatsumi-N-Nichego-lishnego-Minimum-veschey-maksimum-schastya-Pugach-A-tn.jpg"
7e988eaafce5452bd9b7397464.jpg"
"Хазин Михаил – Воспоминания о будущем. Идеи современной экономики [Креминский Дмитрий, 2020, 64 kbps, MP3]","Прочая литература","[Аудио] Бизнес","454.5 MB","magnet:?xt=urn:btih:DFEFF2E7D5015DD1C62CA4CF2967F330FCB35930&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i1.imageban.ru/out/2020/02/12/ad171dcc9530719c7925cd75943bd7f5.jpg"
tpic.ru/big/2017/0116/33/0560310891801ffeada9d617e1b54433.jpg"
"Коллинз Джим - От хорошего к великому. Почему одни компании совершают прорыв, а другие нет... [Артем Степанов, 2012, 112 kbps, MP3]","Прочая литература","[Аудио] Бизнес","469 MB","magnet:?xt=urn:btih:A76B48A9D603E65517BB7A6C4E35E1D82343C215&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i99.fastpic.ru/big/2018/0818/6e/ef54ef0d0e2a9968ec57046d0d2c986e.jpg"
"Сэлинджер Джером Девид - Три рассказа ""Океан, полный шаров для боулинга"" и ""Именинник"" [Евгений Кузнецов, (ЛИ), 2014 г., 320 kbps, MP3]","Прочая литература","[Аудио] Некондиционные раздачи","85.4 MB","magnet:?xt=urn:btih:EC586965B62D2E4064A9832D5046DAED631FB67B&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i59.fastpic.ru/big/2014/0417/8e/e5f3992cddb45f8fe154f9f7f5ee078e.jpg"
"Вячеслав Пьецух - Четвертый Рим [Старчиков, 128 kbps, MP3]","Прочая литература","[Аудио] Некондиционные раздачи","141.8 MB","magnet:?xt=urn:btih:22B353CDBD9A7FAAF4A804B6ED8DE81E28CB65C9&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://i2.fastpic.ru/big/2010/0314/f1/3d00e525bfda44fa45ea3b012d02c6f1.jpg"
"Кинг Стивен – Как писать книги [Игорь Князев, 2021, 128 kbps, MP3]","Прочая литература","[Аудио] Разное","515.1 MB","magnet:?xt=urn:btih:412668E8537C585FD457836F251351215C1E7869&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i1.imageban.ru/out/2021/07/07/0a7e1fa121fd9b5377c4df897d4514f8.jpg"
"Рэнди Хаттер Эпштейн - Возбуждённые: таинственная история эндокринологии. Властные гормоны, которые контролируют всю нашу жизнь (и даже больше) [Кирилл Головин, 2020, 128 kbps, MP3]","Прочая литература","[Аудио] Учебная и научно-популярная литература","484.3 MB","magnet:?xt=urn:btih:89369F0443B617AE4B614981F94B529D7CBD2E78&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2021/0325/b9/196976b4df57a44715cb8d9ea8103eb9.jpg"
"[Радиопостановки] Театр у микрофона (143 альбома) [Табаков О., Калягин А. и др. 2017-2018, 128 kbps, MP3]","Прочая литература","[Аудио] Некондиционные раздачи","14.61 GB","magnet:?xt=urn:btih:23D349EA3A9E642272B61B5B132E30B7233D7240&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://img11.lostpic.net/2020/10/06/55fc152d1e0b79f29bf286f4a3eaa8fc.jpg"
